material_type,period,language_group,date_status,publisher_status,place_result,count
Cartographic,1800-1899,Spanish,Date present,Publisher present,Place identified,22
Cartographic,1800-1899,Spanish,Date present,Publisher present,Place unresolved,2
Cartographic,1800-1899,Spanish,Date present,Publisher present,Explicitly unknown,1
Cartographic,1800-1899,Swedish,Date present,Publisher present,Place identified,8
Cartographic,1800-1899,Swedish,Date present,Publisher missing,Not assessed (Publisher missing),1
Cartographic,1900-2020,Danish,Date present,Publisher present,Place identified,49
Cartographic,1900-2020,Danish,Date present,Publisher present,Place unresolved,99
Cartographic,1900-2020,Danish,Date present,Publisher present,Explicitly unknown,6
Cartographic,1900-2020,Dutch,Date present,Publisher present,Place identified,41
Cartographic,1900-2020,Dutch,Date present,Publisher present,Place unresolved,714
Cartographic,1900-2020,Dutch,Date present,Publisher present,Explicitly unknown,18
Cartographic,1900-2020,English,Date present,Publisher present,Place identified,31460
Cartographic,1900-2020,English,Date present,Publisher present,Place unresolved,14983
Cartographic,1900-2020,English,Date present,Publisher present,Explicitly unknown,729
Cartographic,1900-2020,English,Date present,Publisher present,Ambiguous,148
Cartographic,1900-2020,English,Date present,Publisher missing,Not assessed (Publisher missing),145
Cartographic,1900-2020,French,Date present,Publisher present,Place identified,1294
Cartographic,1900-2020,French,Date present,Publisher present,Place unresolved,936
Cartographic,1900-2020,French,Date present,Publisher present,Explicitly unknown,35
Cartographic,1900-2020,French,Date present,Publisher missing,Not assessed (Publisher missing),5
Cartographic,1900-2020,German,Date present,Publisher present,Place identified,973
Cartographic,1900-2020,German,Date present,Publisher present,Place unresolved,3162
Cartographic,1900-2020,German,Date present,Publisher present,Explicitly unknown,48
Cartographic,1900-2020,German,Date present,Publisher missing,Not assessed (Publisher missing),3
Cartographic,1900-2020,Italian,Date present,Publisher present,Place identified,364
Cartographic,1900-2020,Italian,Date present,Publisher present,Place unresolved,199
Cartographic,1900-2020,Italian,Date present,Publisher present,Explicitly unknown,17
Cartographic,1900-2020,Italian,Date present,Publisher missing,Not assessed (Publisher missing),2
Cartographic,1900-2020,Latin,Date present,Publisher present,Place identified,173
Cartographic,1900-2020,Latin,Date present,Publisher present,Place unresolved,44
Cartographic,1900-2020,Latin,Date present,Publisher present,Explicitly unknown,9
Cartographic,1900-2020,Not recorded / undetermined,Date present,Publisher present,Place identified,37
Cartographic,1900-2020,Not recorded / undetermined,Date present,Publisher present,Place unresolved,13
Cartographic,1900-2020,Not recorded / undetermined,Date present,Publisher present,Explicitly unknown,2
Cartographic,1900-2020,Not recorded / undetermined,Date present,Publisher missing,Not assessed (Publisher missing),1
Cartographic,1900-2020,Other languages,Date present,Publisher present,Place identified,1007
Cartographic,1900-2020,Other languages,Date present,Publisher present,Place unresolved,1451
Cartographic,1900-2020,Other languages,Date present,Publisher present,Explicitly unknown,53
Cartographic,1900-2020,Other languages,Date present,Publisher missing,Not assessed (Publisher missing),3
Cartographic,1900-2020,Polish,Date present,Publisher present,Place identified,12
Cartographic,1900-2020,Polish,Date present,Publisher present,Place unresolved,383
Cartographic,1900-2020,Russian,Date present,Publisher present,Place identified,389
Cartographic,1900-2020,Russian,Date present,Publisher present,Place unresolved,67
Cartographic,1900-2020,Russian,Date present,Publisher present,Explicitly unknown,3
Cartographic,1900-2020,Spanish,Date present,Publisher present,Place identified,204
Cartographic,1900-2020,Spanish,Date present,Publisher present,Place unresolved,347
Cartographic,1900-2020,Spanish,Date present,Publisher present,Explicitly unknown,6
Cartographic,1900-2020,Swedish,Date present,Publisher present,Place identified,138
Cartographic,1900-2020,Swedish,Date present,Publisher present,Place unresolved,111
Cartographic,1900-2020,Swedish,Date present,Publisher present,Explicitly unknown,5
Cartographic,1900-2020,Welsh,Date present,Publisher present,Place identified,15
Cartographic,1900-2020,Welsh,Date present,Publisher present,Place unresolved,11
Cartographic,Date missing,Danish,Date present,Publisher present,Place unresolved,2
Cartographic,Date missing,Danish,Date missing,Publisher missing,Not assessed (Publisher missing),2
Cartographic,Date missing,Dutch,Date present,Publisher present,Place identified,2
Cartographic,Date missing,Dutch,Date present,Publisher present,Place unresolved,10
Cartographic,Date missing,Dutch,Date present,Publisher present,Explicitly unknown,1
Cartographic,Date missing,Dutch,Date missing,Publisher missing,Not assessed (Publisher missing),4
Cartographic,Date missing,English,Date present,Publisher present,Place identified,163
Cartographic,Date missing,English,Date present,Publisher present,Place unresolved,81
Cartographic,Date missing,English,Date present,Publisher present,Explicitly unknown,28
Cartographic,Date missing,English,Date present,Publisher missing,Not assessed (Publisher missing),82
Cartographic,Date missing,English,Date missing,Publisher present,Place identified,29
Cartographic,Date missing,English,Date missing,Publisher present,Place unresolved,48
Cartographic,Date missing,English,Date missing,Publisher present,Explicitly unknown,8
Cartographic,Date missing,English,Date missing,Publisher missing,Not assessed (Publisher missing),2664
Cartographic,Date missing,French,Date present,Publisher present,Place identified,119
Cartographic,Date missing,French,Date present,Publisher present,Place unresolved,16
Cartographic,Date missing,French,Date present,Publisher present,Explicitly unknown,4
Cartographic,Date missing,French,Date present,Publisher missing,Not assessed (Publisher missing),1
Cartographic,Date missing,French,Date missing,Publisher present,Place identified,2
Cartographic,Date missing,French,Date missing,Publisher present,Place unresolved,3
Cartographic,Date missing,French,Date missing,Publisher present,Explicitly unknown,2
Cartographic,Date missing,French,Date missing,Publisher missing,Not assessed (Publisher missing),117
Cartographic,Date missing,German,Date present,Publisher present,Place identified,14
Cartographic,Date missing,German,Date present,Publisher present,Place unresolved,8
Cartographic,Date missing,German,Date present,Publisher present,Explicitly unknown,6
Cartographic,Date missing,German,Date present,Publisher missing,Not assessed (Publisher missing),1
Cartographic,Date missing,German,Date missing,Publisher present,Place identified,3
Cartographic,Date missing,German,Date missing,Publisher present,Place unresolved,4
Cartographic,Date missing,German,Date missing,Publisher present,Explicitly unknown,2
Cartographic,Date missing,German,Date missing,Publisher missing,Not assessed (Publisher missing),22
Cartographic,Date missing,Italian,Date present,Publisher present,Place identified,6
Cartographic,Date missing,Italian,Date present,Publisher present,Place unresolved,8
Cartographic,Date missing,Italian,Date present,Publisher present,Explicitly unknown,4
Cartographic,Date missing,Italian,Date missing,Publisher missing,Not assessed (Publisher missing),8
Cartographic,Date missing,Latin,Date present,Publisher present,Place identified,38
Cartographic,Date missing,Latin,Date present,Publisher present,Place unresolved,47
Cartographic,Date missing,Latin,Date present,Publisher present,Explicitly unknown,12
Cartographic,Date missing,Latin,Date present,Publisher missing,Not assessed (Publisher missing),1
Cartographic,Date missing,Latin,Date missing,Publisher missing,Not assessed (Publisher missing),21
Cartographic,Date missing,Not recorded / undetermined,Date present,Publisher present,Place unresolved,1
Cartographic,Date missing,Not recorded / undetermined,Date missing,Publisher present,Place identified,23
Cartographic,Date missing,Not recorded / undetermined,Date missing,Publisher present,Place unresolved,19
Cartographic,Date missing,Not recorded / undetermined,Date missing,Publisher missing,Not assessed (Publisher missing),4
Cartographic,Date missing,Other languages,Date present,Publisher present,Place identified,3
Cartographic,Date missing,Other languages,Date present,Publisher present,Place unresolved,15
Cartographic,Date missing,Other languages,Date present,Publisher present,Explicitly unknown,2
Cartographic,Date missing,Other languages,Date missing,Publisher present,Place identified,1
Cartographic,Date missing,Other languages,Date missing,Publisher present,Place unresolved,2
Cartographic,Date missing,Other languages,Date missing,Publisher present,Explicitly unknown,1
Cartographic,Date missing,Other languages,Date missing,Publisher missing,Not assessed (Publisher missing),31
Cartographic,Date missing,Polish,Date missing,Publisher missing,Not assessed (Publisher missing),1
Cartographic,Date missing,Russian,Date missing,Publisher missing,Not assessed (Publisher missing),6
Cartographic,Date missing,Spanish,Date present,Publisher present,Place unresolved,4
Cartographic,Date missing,Spanish,Date missing,Publisher present,Place unresolved,1
Cartographic,Date missing,Spanish,Date missing,Publisher missing,Not assessed (Publisher missing),29
Cartographic,Date missing,Swedish,Date present,Publisher present,Place unresolved,1
Cartographic,Date missing,Swedish,Date missing,Publisher present,Place unresolved,1
Cartographic,Date missing,Swedish,Date missing,Publisher missing,Not assessed (Publisher missing),1
Cartographic,Date missing,Welsh,Date missing,Publisher missing,Not assessed (Publisher missing),1
Moving image,1800-1899,English,Date present,Publisher present,Place identified,1
Moving image,1800-1899,English,Date present,Publisher missing,Not assessed (Publisher missing),3
Moving image,1800-1899,Not recorded / undetermined,Date present,Publisher present,Place identified,1
Moving image,1900-2020,English,Date present,Publisher present,Place identified,1091
Moving image,1900-2020,English,Date present,Publisher present,Place unresolved,302
Moving image,1900-2020,English,Date present,Publisher present,Explicitly unknown,35
Moving image,1900-2020,English,Date present,Publisher present,Ambiguous,9
Moving image,1900-2020,English,Date present,Publisher missing,Not assessed (Publisher missing),7
Moving image,1900-2020,French,Date present,Publisher present,Place identified,4
Moving image,1900-2020,French,Date present,Publisher present,Place unresolved,3
Moving image,1900-2020,French,Date present,Publisher present,Explicitly unknown,1
Moving image,1900-2020,German,Date present,Publisher present,Place identified,1
Moving image,1900-2020,German,Date present,Publisher present,Place unresolved,6
Moving image,1900-2020,Italian,Date present,Publisher present,Place identified,17
Moving image,1900-2020,Italian,Date present,Publisher present,Place unresolved,3
Moving image,1900-2020,Latin,Date present,Publisher present,Place identified,1
Moving image,1900-2020,Not recorded / undetermined,Date present,Publisher present,Place identified,15
Moving image,1900-2020,Not recorded / undetermined,Date present,Publisher present,Place unresolved,4
Moving image,1900-2020,Other languages,Date present,Publisher present,Place identified,13
Moving image,1900-2020,Other languages,Date present,Publisher present,Place unresolved,20
Moving image,1900-2020,Other languages,Date present,Publisher present,Explicitly unknown,2
Moving image,1900-2020,Russian,Date present,Publisher present,Place identified,2
Moving image,1900-2020,Russian,Date present,Publisher present,Place unresolved,1
Moving image,1900-2020,Spanish,Date present,Publisher present,Place identified,4
Moving image,1900-2020,Spanish,Date present,Publisher present,Place unresolved,3
Moving image,1900-2020,Swedish,Date present,Publisher present,Place identified,1
Moving image,1900-2020,Welsh,Date present,Publisher present,Place identified,1
Moving image,1900-2020,Welsh,Date present,Publisher present,Place unresolved,3
Moving image,Date missing,English,Date present,Publisher present,Place identified,7
Moving image,Date missing,English,Date present,Publisher present,Place unresolved,11
Moving image,Date missing,English,Date present,Publisher missing,Not assessed (Publisher missing),5
Moving image,Date missing,English,Date missing,Publisher present,Place identified,4
Moving image,Date missing,English,Date missing,Publisher present,Place unresolved,1
Moving image,Date missing,English,Date missing,Publisher missing,Not assessed (Publisher missing),153
Moving image,Date missing,French,Date missing,Publisher missing,Not assessed (Publisher missing),1
Moving image,Date missing,German,Date missing,Publisher missing,Not assessed (Publisher missing),1
Moving image,Date missing,Not recorded / undetermined,Date missing,Publisher missing,Not assessed (Publisher missing),1
Moving image,Date missing,Other languages,Date missing,Publisher missing,Not assessed (Publisher missing),10
Moving image,Date missing,Russian,Date present,Publisher present,Place unresolved,1
Moving image,Date missing,Spanish,Date missing,Publisher missing,Not assessed (Publisher missing),1
Text,1600-1699,Danish,Date present,Publisher present,Place identified,2
Text,1600-1699,Danish,Date present,Publisher present,Place unresolved,53
Text,1600-1699,Dutch,Date present,Publisher present,Place identified,96
Text,1600-1699,Dutch,Date present,Publisher present,Place unresolved,336
Text,1600-1699,Dutch,Date present,Publisher present,Explicitly unknown,30
Text,1600-1699,English,Date present,Publisher present,Place identified,26497
Text,1600-1699,English,Date present,Publisher present,Place unresolved,2066
Text,1600-1699,English,Date present,Publisher present,Explicitly unknown,225
Text,1600-1699,English,Date present,Publisher present,Ambiguous,1
Text,1600-1699,English,Date present,Publisher missing,Not assessed (Publisher missing),7
Text,1600-1699,French,Date present,Publisher present,Place identified,1562
Text,1600-1699,French,Date present,Publisher present,Place unresolved,1518
Text,1600-1699,French,Date present,Publisher present,Explicitly unknown,126
Text,1600-1699,German,Date present,Publisher present,Place identified,98
Text,1600-1699,German,Date present,Publisher present,Place unresolved,1188
Text,1600-1699,German,Date present,Publisher present,Explicitly unknown,468
Text,1600-1699,German,Date present,Publisher missing,Not assessed (Publisher missing),1
Text,1600-1699,Italian,Date present,Publisher present,Place identified,4469
Text,1600-1699,Italian,Date present,Publisher present,Place unresolved,611
Text,1600-1699,Italian,Date present,Publisher present,Explicitly unknown,13
Text,1600-1699,Latin,Date present,Publisher present,Place identified,3257
Text,1600-1699,Latin,Date present,Publisher present,Place unresolved,16076
Text,1600-1699,Latin,Date present,Publisher present,Explicitly unknown,544
Text,1600-1699,Not recorded / undetermined,Date present,Publisher present,Place identified,4
Text,1600-1699,Not recorded / undetermined,Date present,Publisher present,Place unresolved,5
Text,1600-1699,Not recorded / undetermined,Date present,Publisher present,Explicitly unknown,14
Text,1600-1699,Not recorded / undetermined,Date present,Publisher missing,Not assessed (Publisher missing),2
Text,1600-1699,Other languages,Date present,Publisher present,Place identified,95
Text,1600-1699,Other languages,Date present,Publisher present,Place unresolved,550
Text,1600-1699,Other languages,Date present,Publisher present,Explicitly unknown,65
Text,1600-1699,Polish,Date present,Publisher present,Place unresolved,4
Text,1600-1699,Spanish,Date present,Publisher present,Place identified,373
Text,1600-1699,Spanish,Date present,Publisher present,Place unresolved,725
Text,1600-1699,Spanish,Date present,Publisher present,Explicitly unknown,34
Text,1600-1699,Swedish,Date present,Publisher present,Place identified,15
Text,1600-1699,Swedish,Date present,Publisher present,Place unresolved,11
Text,1600-1699,Welsh,Date present,Publisher present,Place identified,1
Text,1600-1699,Welsh,Date present,Publisher present,Place unresolved,4
Text,1700-1799,Danish,Date present,Publisher present,Place identified,22
Text,1700-1799,Danish,Date present,Publisher present,Place unresolved,300
Text,1700-1799,Danish,Date present,Publisher present,Explicitly unknown,2
Text,1700-1799,Dutch,Date present,Publisher present,Place identified,63
Text,1700-1799,Dutch,Date present,Publisher present,Place unresolved,229
Text,1700-1799,Dutch,Date present,Publisher present,Explicitly unknown,4
Text,1700-1799,English,Date present,Publisher present,Place identified,171617
Text,1700-1799,English,Date present,Publisher present,Place unresolved,8568
Text,1700-1799,English,Date present,Publisher present,Explicitly unknown,344
Text,1700-1799,English,Date present,Publisher present,Ambiguous,205
Text,1700-1799,English,Date present,Publisher missing,Not assessed (Publisher missing),23
Text,1700-1799,French,Date present,Publisher present,Place identified,4292
Text,1700-1799,French,Date present,Publisher present,Place unresolved,7644
Text,1700-1799,French,Date present,Publisher present,Explicitly unknown,132
Text,1700-1799,French,Date present,Publisher missing,Not assessed (Publisher missing),2
Text,1700-1799,German,Date present,Publisher present,Place identified,1007
Text,1700-1799,German,Date present,Publisher present,Place unresolved,4669
Text,1700-1799,German,Date present,Publisher present,Explicitly unknown,614
Text,1700-1799,German,Date present,Publisher present,Ambiguous,1
Text,1700-1799,Italian,Date present,Publisher present,Place identified,981
Text,1700-1799,Italian,Date present,Publisher present,Place unresolved,779
Text,1700-1799,Italian,Date present,Publisher present,Explicitly unknown,12
Text,1700-1799,Latin,Date present,Publisher present,Place identified,1321
Text,1700-1799,Latin,Date present,Publisher present,Place unresolved,16321
Text,1700-1799,Latin,Date present,Publisher present,Explicitly unknown,332
Text,1700-1799,Latin,Date present,Publisher present,Ambiguous,2
Text,1700-1799,Not recorded / undetermined,Date present,Publisher present,Place identified,16
Text,1700-1799,Not recorded / undetermined,Date present,Publisher present,Place unresolved,16
Text,1700-1799,Not recorded / undetermined,Date present,Publisher present,Explicitly unknown,2
Text,1700-1799,Not recorded / undetermined,Date present,Publisher missing,Not assessed (Publisher missing),2
Text,1700-1799,Other languages,Date present,Publisher present,Place identified,274
Text,1700-1799,Other languages,Date present,Publisher present,Place unresolved,919
Text,1700-1799,Other languages,Date present,Publisher present,Explicitly unknown,13
Text,1700-1799,Other languages,Date present,Publisher missing,Not assessed (Publisher missing),1
Text,1700-1799,Polish,Date present,Publisher present,Place unresolved,6
Text,1700-1799,Polish,Date present,Publisher present,Explicitly unknown,2
Text,1700-1799,Russian,Date present,Publisher present,Place identified,2
Text,1700-1799,Russian,Date present,Publisher present,Place unresolved,11
Text,1700-1799,Spanish,Date present,Publisher present,Place identified,883
Text,1700-1799,Spanish,Date present,Publisher present,Place unresolved,478
Text,1700-1799,Spanish,Date present,Publisher present,Explicitly unknown,31
Text,1700-1799,Swedish,Date present,Publisher present,Place identified,228
Text,1700-1799,Swedish,Date present,Publisher present,Place unresolved,29
Text,1700-1799,Welsh,Date present,Publisher present,Place identified,123
Text,1700-1799,Welsh,Date present,Publisher present,Place unresolved,310
Text,1800-1899,Danish,Date present,Publisher present,Place identified,14
Text,1800-1899,Danish,Date present,Publisher present,Place unresolved,644
Text,1800-1899,Danish,Date present,Publisher present,Explicitly unknown,3
Text,1800-1899,Dutch,Date present,Publisher present,Place identified,149
Text,1800-1899,Dutch,Date present,Publisher present,Place unresolved,463
Text,1800-1899,Dutch,Date present,Publisher present,Explicitly unknown,5
Text,1800-1899,Dutch,Date present,Publisher missing,Not assessed (Publisher missing),1
Text,1800-1899,English,Date present,Publisher present,Place identified,325988
Text,1800-1899,English,Date present,Publisher present,Place unresolved,25652
Text,1800-1899,English,Date present,Publisher present,Explicitly unknown,2529
Text,1800-1899,English,Date present,Publisher present,Ambiguous,182
Text,1800-1899,English,Date present,Publisher missing,Not assessed (Publisher missing),322
Text,1800-1899,French,Date present,Publisher present,Place identified,11359
Text,1800-1899,French,Date present,Publisher present,Place unresolved,2722
Text,1800-1899,French,Date present,Publisher present,Explicitly unknown,70
Text,1800-1899,French,Date present,Publisher missing,Not assessed (Publisher missing),5
Text,1800-1899,German,Date present,Publisher present,Place identified,2001
Text,1800-1899,German,Date present,Publisher present,Place unresolved,4312
Text,1800-1899,German,Date present,Publisher present,Explicitly unknown,63
Text,1800-1899,German,Date present,Publisher present,Ambiguous,1
Text,1800-1899,German,Date present,Publisher missing,Not assessed (Publisher missing),6
Text,1800-1899,Italian,Date present,Publisher present,Place identified,1178
Text,1800-1899,Italian,Date present,Publisher present,Place unresolved,483
Text,1800-1899,Italian,Date present,Publisher present,Explicitly unknown,13
Text,1800-1899,Italian,Date present,Publisher missing,Not assessed (Publisher missing),2
Text,1800-1899,Latin,Date present,Publisher present,Place identified,1977
Text,1800-1899,Latin,Date present,Publisher present,Place unresolved,2550
Text,1800-1899,Latin,Date present,Publisher present,Explicitly unknown,21
Text,1800-1899,Latin,Date present,Publisher present,Ambiguous,1
Text,1800-1899,Latin,Date present,Publisher missing,Not assessed (Publisher missing),3
Text,1800-1899,Not recorded / undetermined,Date present,Publisher present,Place identified,4239
Text,1800-1899,Not recorded / undetermined,Date present,Publisher present,Place unresolved,972
Text,1800-1899,Not recorded / undetermined,Date present,Publisher present,Explicitly unknown,141
Text,1800-1899,Not recorded / undetermined,Date present,Publisher present,Ambiguous,2
Text,1800-1899,Not recorded / undetermined,Date present,Publisher missing,Not assessed (Publisher missing),1381
Text,1800-1899,Other languages,Date present,Publisher present,Place identified,3205
Text,1800-1899,Other languages,Date present,Publisher present,Place unresolved,1863
Text,1800-1899,Other languages,Date present,Publisher present,Explicitly unknown,42
Text,1800-1899,Other languages,Date present,Publisher missing,Not assessed (Publisher missing),9
Text,1800-1899,Polish,Date present,Publisher present,Place identified,4
Text,1800-1899,Polish,Date present,Publisher present,Place unresolved,60
Text,1800-1899,Russian,Date present,Publisher present,Place identified,65
Text,1800-1899,Russian,Date present,Publisher present,Place unresolved,208
Text,1800-1899,Russian,Date present,Publisher present,Explicitly unknown,2
Text,1800-1899,Spanish,Date present,Publisher present,Place identified,440
Text,1800-1899,Spanish,Date present,Publisher present,Place unresolved,531
Text,1800-1899,Spanish,Date present,Publisher present,Explicitly unknown,14
Text,1800-1899,Swedish,Date present,Publisher present,Place identified,330
Text,1800-1899,Swedish,Date present,Publisher present,Place unresolved,122
Text,1800-1899,Swedish,Date present,Publisher present,Explicitly unknown,2
Text,1800-1899,Welsh,Date present,Publisher present,Place identified,42
Text,1800-1899,Welsh,Date present,Publisher present,Place unresolved,209
Text,1800-1899,Welsh,Date present,Publisher present,Ambiguous,1
Text,1900-2020,Danish,Date present,Publisher present,Place identified,783
Text,1900-2020,Danish,Date present,Publisher present,Place unresolved,3185
Text,1900-2020,Danish,Date present,Publisher present,Explicitly unknown,26
Text,1900-2020,Danish,Date present,Publisher missing,Not assessed (Publisher missing),1
Text,1900-2020,Dutch,Date present,Publisher present,Place identified,2032
Text,1900-2020,Dutch,Date present,Publisher present,Place unresolved,4211
Text,1900-2020,Dutch,Date present,Publisher present,Explicitly unknown,55
Text,1900-2020,Dutch,Date present,Publisher present,Ambiguous,1
Text,1900-2020,Dutch,Date present,Publisher missing,Not assessed (Publisher missing),12
Text,1900-2020,English,Date present,Publisher present,Place identified,2367352
Text,1900-2020,English,Date present,Publisher present,Place unresolved,541947
Text,1900-2020,English,Date present,Publisher present,Explicitly unknown,16458
Text,1900-2020,English,Date present,Publisher present,Ambiguous,11325
Text,1900-2020,English,Date present,Publisher missing,Not assessed (Publisher missing),2259
Text,1900-2020,French,Date present,Publisher present,Place identified,63681
Text,1900-2020,French,Date present,Publisher present,Place unresolved,20178
Text,1900-2020,French,Date present,Publisher present,Explicitly unknown,283
Text,1900-2020,French,Date present,Publisher present,Ambiguous,16
Text,1900-2020,French,Date present,Publisher missing,Not assessed (Publisher missing),78
Text,1900-2020,German,Date present,Publisher present,Place identified,22376
Text,1900-2020,German,Date present,Publisher present,Place unresolved,39829
Text,1900-2020,German,Date present,Publisher present,Explicitly unknown,211
Text,1900-2020,German,Date present,Publisher present,Ambiguous,6
Text,1900-2020,German,Date present,Publisher missing,Not assessed (Publisher missing),94
Text,1900-2020,Italian,Date present,Publisher present,Place identified,19072
Text,1900-2020,Italian,Date present,Publisher present,Place unresolved,8658
Text,1900-2020,Italian,Date present,Publisher present,Explicitly unknown,105
Text,1900-2020,Italian,Date present,Publisher present,Ambiguous,2
Text,1900-2020,Italian,Date present,Publisher missing,Not assessed (Publisher missing),16
Text,1900-2020,Latin,Date present,Publisher present,Place identified,2239
Text,1900-2020,Latin,Date present,Publisher present,Place unresolved,1745
Text,1900-2020,Latin,Date present,Publisher present,Explicitly unknown,17
Text,1900-2020,Latin,Date present,Publisher present,Ambiguous,8
Text,1900-2020,Latin,Date present,Publisher missing,Not assessed (Publisher missing),10
Text,1900-2020,Not recorded / undetermined,Date present,Publisher present,Place identified,7816
Text,1900-2020,Not recorded / undetermined,Date present,Publisher present,Place unresolved,30090
Text,1900-2020,Not recorded / undetermined,Date present,Publisher present,Explicitly unknown,295
Text,1900-2020,Not recorded / undetermined,Date present,Publisher present,Ambiguous,23
Text,1900-2020,Not recorded / undetermined,Date present,Publisher missing,Not assessed (Publisher missing),40001
Text,1900-2020,Other languages,Date present,Publisher present,Place identified,15021
Text,1900-2020,Other languages,Date present,Publisher present,Place unresolved,20642
Text,1900-2020,Other languages,Date present,Publisher present,Explicitly unknown,280
Text,1900-2020,Other languages,Date present,Publisher present,Ambiguous,19
Text,1900-2020,Other languages,Date present,Publisher missing,Not assessed (Publisher missing),80
Text,1900-2020,Polish,Date present,Publisher present,Place identified,1112
Text,1900-2020,Polish,Date present,Publisher present,Place unresolved,6062
Text,1900-2020,Polish,Date present,Publisher present,Explicitly unknown,21
Text,1900-2020,Polish,Date present,Publisher missing,Not assessed (Publisher missing),1
Text,1900-2020,Russian,Date present,Publisher present,Place identified,17785
Text,1900-2020,Russian,Date present,Publisher present,Place unresolved,8015
Text,1900-2020,Russian,Date present,Publisher present,Explicitly unknown,59
Text,1900-2020,Russian,Date present,Publisher present,Ambiguous,7
Text,1900-2020,Russian,Date present,Publisher missing,Not assessed (Publisher missing),24
Text,1900-2020,Spanish,Date present,Publisher present,Place identified,11578
Text,1900-2020,Spanish,Date present,Publisher present,Place unresolved,8015
Text,1900-2020,Spanish,Date present,Publisher present,Explicitly unknown,124
Text,1900-2020,Spanish,Date present,Publisher present,Ambiguous,15
Text,1900-2020,Spanish,Date present,Publisher missing,Not assessed (Publisher missing),11
Text,1900-2020,Swedish,Date present,Publisher present,Place identified,2853
Text,1900-2020,Swedish,Date present,Publisher present,Place unresolved,1968
Text,1900-2020,Swedish,Date present,Publisher present,Explicitly unknown,29
Text,1900-2020,Swedish,Date present,Publisher present,Ambiguous,1
Text,1900-2020,Swedish,Date present,Publisher missing,Not assessed (Publisher missing),9
Text,1900-2020,Welsh,Date present,Publisher present,Place identified,1524
Text,1900-2020,Welsh,Date present,Publisher present,Place unresolved,12753
Text,1900-2020,Welsh,Date present,Publisher present,Explicitly unknown,120
Text,1900-2020,Welsh,Date present,Publisher present,Ambiguous,6
Text,1900-2020,Welsh,Date present,Publisher missing,Not assessed (Publisher missing),1
Text,Date missing,Danish,Date present,Publisher present,Place identified,1
Text,Date missing,Danish,Date present,Publisher present,Place unresolved,36
Text,Date missing,Danish,Date present,Publisher present,Explicitly unknown,4
Text,Date missing,Danish,Date missing,Publisher present,Place identified,5
Text,Date missing,Danish,Date missing,Publisher present,Place unresolved,58
Text,Date missing,Danish,Date missing,Publisher missing,Not assessed (Publisher missing),178
Text,Date missing,Dutch,Date present,Publisher present,Place identified,18
Text,Date missing,Dutch,Date present,Publisher present,Place unresolved,100
Text,Date missing,Dutch,Date present,Publisher present,Explicitly unknown,9
Text,Date missing,Dutch,Date missing,Publisher present,Place identified,34
Text,Date missing,Dutch,Date missing,Publisher present,Place unresolved,127
Text,Date missing,Dutch,Date missing,Publisher present,Explicitly unknown,15
Text,Date missing,Dutch,Date missing,Publisher missing,Not assessed (Publisher missing),440
Text,Date missing,English,Date present,Publisher present,Place identified,8521
Text,Date missing,English,Date present,Publisher present,Place unresolved,3029
Text,Date missing,English,Date present,Publisher present,Explicitly unknown,994
Text,Date missing,English,Date present,Publisher present,Ambiguous,13
Text,Date missing,English,Date present,Publisher missing,Not assessed (Publisher missing),155
Text,Date missing,English,Date missing,Publisher present,Place identified,63718
Text,Date missing,English,Date missing,Publisher present,Place unresolved,59395
Text,Date missing,English,Date missing,Publisher present,Explicitly unknown,1171
Text,Date missing,English,Date missing,Publisher present,Ambiguous,479
Text,Date missing,English,Date missing,Publisher missing,Not assessed (Publisher missing),433101
Text,Date missing,French,Date present,Publisher present,Place identified,788
Text,Date missing,French,Date present,Publisher present,Place unresolved,434
Text,Date missing,French,Date present,Publisher present,Explicitly unknown,193
Text,Date missing,French,Date present,Publisher missing,Not assessed (Publisher missing),2
Text,Date missing,French,Date missing,Publisher present,Place identified,865
Text,Date missing,French,Date missing,Publisher present,Place unresolved,847
Text,Date missing,French,Date missing,Publisher present,Explicitly unknown,127
Text,Date missing,French,Date missing,Publisher missing,Not assessed (Publisher missing),4017
Text,Date missing,German,Date present,Publisher present,Place identified,250
Text,Date missing,German,Date present,Publisher present,Place unresolved,1554
Text,Date missing,German,Date present,Publisher present,Explicitly unknown,3852
Text,Date missing,German,Date present,Publisher missing,Not assessed (Publisher missing),1
Text,Date missing,German,Date missing,Publisher present,Place identified,428
Text,Date missing,German,Date missing,Publisher present,Place unresolved,685
Text,Date missing,German,Date missing,Publisher present,Explicitly unknown,729
Text,Date missing,German,Date missing,Publisher missing,Not assessed (Publisher missing),19161
Text,Date missing,Italian,Date present,Publisher present,Place identified,491
Text,Date missing,Italian,Date present,Publisher present,Place unresolved,818
Text,Date missing,Italian,Date present,Publisher present,Explicitly unknown,45
Text,Date missing,Italian,Date missing,Publisher present,Place identified,259
Text,Date missing,Italian,Date missing,Publisher present,Place unresolved,116
Text,Date missing,Italian,Date missing,Publisher present,Explicitly unknown,13
Text,Date missing,Italian,Date missing,Publisher missing,Not assessed (Publisher missing),1652
Text,Date missing,Latin,Date present,Publisher present,Place identified,1209
Text,Date missing,Latin,Date present,Publisher present,Place unresolved,6972
Text,Date missing,Latin,Date present,Publisher present,Explicitly unknown,3084
Text,Date missing,Latin,Date present,Publisher missing,Not assessed (Publisher missing),4
Text,Date missing,Latin,Date missing,Publisher present,Place identified,38
