geography,count,percentage_of_identified_records,percentage_of_all_records,identified_records_total,all_records_total
London,1749158,53.59398061292616,33.29596679308093,3263721,5253363
Other UK and Ireland,616213,18.88068863729467,11.729876652346316,3263721,5253363
Overseas,601888,18.44177244317146,11.457194182088692,3263721,5253363
Scotland,296462,9.083558306607703,5.643280313962694,3263721,5253363
