status,count,percentage_of_all_records,percentage_of_publisher_present,denominator
Place extracted,3263721,62.126317941478625,76.80435054770138,5253363
Publisher missing,1003967,19.11093903086461,,5253363
Place unresolved,935132,17.800635516715673,22.00623335645819,5253363
Explicitly unknown,37927,0.7219565828593988,0.8925268438149798,5253363
Ambiguous,12616,0.24015092808168784,0.2968892520254643,5253363
