field,total_records,present_count,missing_count,present_rate,missing_rate
Title,5253363,5090030,163333,96.89088684714915,3.10911315285085
Creator,5253363,4725404,527959,89.95007578954663,10.04992421045338
Type,5253363,5090232,163131,96.89473200309973,3.1052679969002717
Publisher,5253363,4249396,1003967,80.88906096913539,19.11093903086461
Date,5253363,4157580,1095783,79.14130434161888,20.85869565838112
Language,5253363,4738693,514670,90.20303755898841,9.796962441011596
